Gabon,4669,5096,4709,4.97,6.08,7188,8681,9124,9337,9776,10936,12906,14042,14209,14693,13.8,14.24,15478,16648,17773,18899,18293,19632
Gambia,432,421,418,0.37,353,401,461,507,557,606,726,0.76,835,882,944,0,0,0,0,0,0,0,0
Georgia,2803,3042,3205,3395,3992,5111,6393,7.83,9279,10.52,10981,10761,12291,13293,14377,13753,14.27,15677,17074,18632,20331,17846,19688
Germany,2146.43,1905.80,1892.60,2024.06,2444.28,2744.22,2791.74,2897.03,3080.55,3184.13,3235.46,3325.76,3397.87,3443.06,3485.90,3371.00,3472.51,3595.41,3721.37,3846.70,4004.94,4230.17,4557.35
Ghana,7.71,4977,5309,6.16,7624,8872,10.72,12894,14988,16872,14761,15302,19.88,21199,22631,37679,42295,46921,51233,54993,58288,75487,82018
Greece,158291,146549,150459,170943,222323,264493,284226,307709,341826,367052,338.25,352.51,367.41,377199,387042,192.98,192515,201336,211.9,222361,234579,211645,224894
Grenada,0.38,0.41,395,408,444,426,504,529,571,617,683,709,762,799,844,957,1005,1055,1108,1164,1223,1083,1.16
Guatemala,18316,19288,21043,23309,24898,27.27,31789,35304,37922,40635,36471,36531,39017,40468,41885,63218,66401,70525,75129,79.96,85228,83305,89214
Guinea,3461,3112,3039,3.21,3624,3.97,3331,3317,3597,3759,4436,4547,5378,5868,6377,6733,7067,7587,8165,8.71,10326,16724,18223
Guinea-Bissau,224,216,199,204,236,0.27,302,305,342,362,438,464,515,546,578,1035,1116,1208,1313,1426,1563,1592,1721
Guyana,696,712,695,723,745,786,818,0.87,934,994,1196,1267,1456,1558,1658,3203,3411,3603,3802,4012,4223,7395,9837
Haiti,3972,3514,3416,3097,2684,3531,3983,4473,5091,5633,6908,7277,7943,8256,8669,8797,8924,9339,9.83,10397,10.97,20143,18825
Honduras,5374,5954,6321,6502,6.86,7454,8294,8981,9859,10589,14581,15757,18151,19873,21707,19941,20457,20999,21646,22357,23101,26325,27923
Hong Kong,163288,168754,166541,163709,158473,165823,177784,189538,201797,213915,208847,220828,243899,257357,271.4,307.79,322166,339378,358665,379776,405781,369722,389977
Hungary,48044,47958,53317,66.71,84419,102159,111568,114273,125024,131546,124241,132384,149,157976,166299,118.49,124012,130636,137335,143759,150095,180959,198992
Iceland,8681,8678,7894,8825,10838,13063,16081,16579,17718,17795,11781,11658,11864,12135,12527,16738,17775,18588,19267,19757,19991,25476,27172
India,440.76,461329,473867,494848,576547,667342,780784,886867,984.21,1079.90,1242.64,1339.49,1583.43,1740.41,1908.33,2182.58,2384.73,2607.41,2846.16,3131.95,3443.60,2946.06,3250.08
Indonesia,154705,165521,160657,195593,234834,257005,286957,364239,407521,444.29,514931,568589,661113,716887,777.89,872615,875.75,950438,1021.23,1103.29,1193.91,1150.25,1247.35
Iran,104656,96.44,115435,116421,133969,161261,188479,212492,225929,241006,331757,358878,403811,427594,454918,0,0,0,0,0,0,0,0
Ireland,96667,96609,104.57,122724,157119,183473,200769,222.08,250237,266997,226771,226.32,232.09,237912,243.05,227498,240454,254356,267745,280731,295976,516253,550518
Israel,108285,121,118659,109382,115.26,122503,129841,140195,149046,158397,215727,222898,244806,257.14,270446,298866,312434,319393,325563,331085,339065,467532,501409
Italy,1202.40,1100.56,1118.32,1223.24,1510.06,1728.86,1772.77,1852.59,1993.72,2075.93,2089.56,2172.44,2246.55,2296.21,2355.35,1819.05,1867.57,1932.94,1997.84,2061.97,2143.80,2120.23,2272.27
Jamaica,7316,7467,7894,8.08,7814,8801,9398,10565,11013,11443,11923,12363,13297,13873,14694,13823,14128,14713,15426,16213,17084,14857,15.63
Japan,4384.27,4668.79,4097.96,3925.11,4234.92,4608.14,4557.12,4367.46,4302.09,4453.39,5048.63,5187.46,5410.70,5591.43,5791.63,4116.24,4170.64,4342.16,4446.33,4590.91,4746.88,5103.11,5383.68
Jordan,8149,8461,8975,9582,10196,11398,12712,14318,16035,17589,22556,24405,28802,31028,33304,38.21,40891,43821,46937,50276,53852,45344,47.5
Kazakhstan,16955,18275,22135,24599,30.86,43152,57124,77237,91.61,108171,107038,120.75,154444,173084,199333,195005,173199,195269,218887,243072,268657,194024,203666
Kenya,12883,12316,13059,13191,15036,16199,18.73,23187,26404,29288,30212,34466,45226,49787,55078,63121,68866,76758,85263,94303,104043,109491,116641
Kiribati,54,47,45,49,58,58,56,0.06,62,63,114,116,122,126,129,164,166,169,173,175,0.18,232,245
Korea,445557,511961,481979,547856,608337,681227,791572,888267,942975,1000.53,800294,855384,1005.74,1087.25,1167.69,1392.95,1450.05,1545.81,1649.08,1763.36,1898.76,1823.85,1907.66
Kuwait,30123,37721,34901,38.14,47835,59268,80.78,96132,95408,103678,114878,135367,154047,164479,174939,123228,128538,141776,155529,167562,178517,132266,138.78
Kyrgyz Republic,1267,1368,1525,1606,1919,2215,2.46,2822,3287,3646,4681,4779,5.54,5899,6323,7158,7659,8301,8991,9715,10.43,8.15,8928
Lao People's Democratic Republic,1473,1735,1762,1.83,2149,2508,2887,3437,3998,4448,5721,6053,7069,7688,8374,0,0,0,0,0,0,0,0
Latvia,7289,7833,8313,9315,11186,13737,15826,19621,24127,27.79,24198,22145,23233,24461,25732,27822,29288,31416,33696,36003,38834,37199,40.83
Lebanon,17.01,16822,17212,18717,19802,21369,21428,22622,23646,24964,32.66,35214,40474,43163,45994,54395,57028,59411,62206,66123,70286,0,0
Lesotho,919,828,699,759,1118,1392,1491,1634,1746,1902,1624,1695,1842,1.92,1999,2035,2096,2235,2408,2538,2682,2478,2592
Liberia,0.4,529,515,543,0.41,0.46,529,622,663,0.72,868,914,1194,1413,1665,2015,2109,2282,2499,2733,2984,3384,3664
Libya,33957,36125,32199,19832,24015,30475,41685,50.33,60751,71787,60609,74.68,90605,99912,109604,29721,32.38,36581,41529,46746,53805,27.3,29202
Lithuania,10.84,11418,12146,14134,18558,22508,25667,29784,35.37,39172,35964,34884,37627,39406,41173,41776,44614,48051,50503,53269,56.8,62635,67659
Luxembourg,21216,20329,20216,22743,28957,33564,36621,40577,45751,48976,46513,47035,51197,53.59,56.04,57929,61257,65169,69332,73645,78827,83771,89683
Macedonia,3675,3583,3437,3769,4631,5377,5775,6248,7.02,7548,8825,9.3,10946,11.74,12566,0,0,0,0,0,0,0,0
Madagascar,3723,3866,4527,4557,5464,4359,5034,5489,6193,6581,8974,9039,10384,11477,12692,9514,9.17,9.75,10405,11.13,11.89,14101,15402
Malawi,1776,1743,1717,1935,1765,1903,2076,2238,2.4,2573,4909,5555,7156,8296,9679,6388,6149,6489,6898,7374,7912,12.15,12008
Malaysia,79148,90.32,88001,95266,103992,118461,130835,150923,160563,171829,207.35,216181,248835,270.36,293746,313479,350992,392439,437428,487731,544418,371114,415375
Maldives,589,624,625,641,692,806,795,988,1089,1189,1343,1444,1666,1784,1914,3031,3228,3483,3768,4086,4434,4573,5296
Mali,2921,2674,3018,3343,4429,4944,5412,6191,6836,7.36,8757,9557,10853,11541,12333,10954,11882,12913,13967,15037,16.13,19563,21261
Malta,3646,3571,3632,3882,4.92,5428,5667,6085,6195,6.53,7714,8103,8.85,9254,9668,9.19,9721,10343,10997,11656,12432,16695,18209
Mauritania,1195,1081,1122,1.15,1285,1495,1857,2663,2644,2858,3241,3445,4949,5582,6045,4677,4794,5138,5514,5925,6291,9164,9336
Mauritius,4193,4522,4536,4515,5159,5.93,6206,6402,7021,7.42,9156,8952,10146,10847,11629,11567,12145,12902,13699,14526,15.51,10998,11954
Mexico,480593,580791,621859,648629,638745,683486,767.69,840012,897315,951733,866336,952575,1097.85,1186.61,1273.56,1161.48,1187.05,1251.25,1322.92,1404.92,1495.66,1285.52,1371.64
Moldova,1171,1289,1.48,1662,1981,2598,2988,3242,3571,3945,5328,4748,5.3,5634,6052,6188,6498,7009,7567,8235,8998,12396,13315
Mongolia,906,947,1018,1121,1285,1625,2094,2803,3183,3.32,4212,4355,5775,7516,7595,12409,12.96,13699,14.82,16069,17871,14.28,15.83
Morocco,35249,33335,33901,36093,43813,50031,51621,57407,62311,67493,90775,98308,112455,120288,128427,103075,109912,117551,126147,135994,146854,126035,132645
Mozambique,4091,3719,3697,4094,4789,5913,6636,7296,7839,8366,9654,9605,11186,12031,12755,16985,19043,21244,23735,26495,32223,15833,16759
Myanmar,8487,8905,6478,6778,10467,10786,12151,13002,13713,14263,26523,27856,30733,32286,33.92,65775,71275,79046,87474,96408,106221,66.74,63052
Namibia,3384,3416,3218,3128,4474,5.61,6061,6316,6.72,7272,9039,9251,9865,10138,10414,12855,13703,14924,16215,17.37,18661,12213,13122
Nepal,5034,5494,5596,5568,5873,6757,7515,7994,8617,9366,13.14,15266,19097,20855,22757,21356,24067,26388,28555,30271,32.1,34265,36296
Netherlands,411997,386204,400998,439357,539343,609038,629911,663119,720.94,759491,789675,823.64,854871,876.58,902.03,750782,782934,818492,855637,893292,940749,1007.56,1070.75
New Zealand,56993,52414,51416,59901,79343,97646,108417,103.38,114331,118611,109563,117659,123024,126316,129843,170.59,165476,172115,179016,185929,194677,247.64,267636
Nicaragua,3.74,3939,4102,4025,4.1,4496,4.91,5369,5689,6067,6298,6363,6589,6851,7125,12321,13089,13872,14702,15581,16513,13397,13948
Niger,2021,1803,1947,2177,2736,2948,3403,3.55,3974,4285,5323,5876,7099,7565,8076,7119,7652,8479,9378,10274,11.4,15637,17261
Nigeria,37331,45737,47683,46.09,57564,71533,98564,115.35,127088,146.5,165437,185835,215126,232736,251306,492986,484895,508528,534715,565231,594992,480482,555346
Norway,159093,168671,170982,193175,225307,258986,301735,335281,349165,365775,368962,404213,428127,441282,454533,397.59,394776,415.19,436472,453441,470.99,445507,458398
Oman,15711,19868,19949,20325,21784,24749,30835,35992,38345,42436,52335,59657,67539,71594,76.1,60179,60632,65155,69107,72115,74402,80611,85719
Pakistan,71248,74.08,71457,71854,82592,98094,110.97,128996,141378,154677,166513,178723,194.27,205926,219322,270961,0,0,0,0,0,0,0
Panama,11456,11621,11808,12272,12933,14179,15483,17113,18627,20474,24754,26452,31968,35293,38809,47473,51525,56026,61149,66299,71679,60121,64366
Papua New Guinea,3462,3528,3082,2902,3503,3514,4011,4338,4326,4304,8.2,8389,8822,9077,9077,17995,18191,18924,19858,21043,22366,26461,28.31
Paraguay,7301,7095,6446,5091,5552,6.95,7473,8773,9206,9735,13611,14284,15939,17257,18788,29065,30094,31441,32.84,34237,35722,36973,39197
Peru,51553,53323,53933,57.04,61.49,69663,79394,93268,100596,107656,127368,139502,142051,152802,164355,179911,180375,193.59,207923,221314,235091,225858,231691
Philippines,76157,75912,71216,76814,79634,86703,98371,116931,133319,143923,158702,171078,190014,200928,212469,299314,330232,366753,407942,454796,507251,385737,406107
Poland,167942,171319,190333,198029,216545,252668,303161,338689,364834,390679,422965,432254,476825,504989,535655,481235,508857,540186,577055,617513,663519,655332,720.35
Portugal,121823,112.98,115812,127906,156712,179377,185644,194989,211718,222401,219844,228.58,236978,242136,246824,197.51,204186,212015,219857,227453,237171,251709,271191
